Timestamp,HF1 - Unshaded (W/m2),HF2 - Shaded (W/m2),HF3 - Front Panel (W/m2),HF4 - Back Panel (W/m2),HF5 - Structure (W/m2),T1 - Unshaded (degC),T2 - Shaded (degC),T3 - Front Panel (degC),T4 - Back Panel (degC),T5 - Structure (degC),Pyranometer (W/m2),Wind Direction (Degrees),Wind Speed (m/s),Air Temperature (degC)
1/12/23 4:26 PM,2.398491,20.715898,-47.156356,-0.05471,42.690416,36.020128,35.590168,35.241592,35.19538,35.793052,823.1108,230,1.13,30.474828
1/12/23 4:27 PM,9.055138,6.948659,-63.009044,-0.086555,-14.918562,35.999784,35.476708,35.00116,34.853228,35.869804,761.50624,336,2.24,30.741292
1/12/23 4:28 PM,3.929138,24.961,-46.828004,-0.092682,-4.674807,35.890492,35.274708,35.1543,34.731156,35.83662,769.91568,296,0,30.571284
1/12/23 4:29 PM,5.021096,20.603412,-51.260768,-0.072731,2.109009,36.394164,35.939532,34.956812,34.779384,36.082908,695.42184,276,0.53,31.363948
1/12/23 4:30 PM,-3.604889,4.146305,-66.82856,-0.092163,-52.929308,35.775168,34.731496,34.94578,34.64966,36.105544,856.90864,315,3.34,30.862904
1/12/23 4:31 PM,-0.767708,6.723688,-31.767226,-0.069237,-8.5721,35.911988,33.685088,34.901028,34.490204,36.068976,727.37288,345,0.55,30.010478
1/12/23 4:32 PM,8.077622,1.011385,-70.8026,-0.072205,-31.406732,35.411004,33.865408,34.415256,34.381692,35.724704,801.68968,246,1.82,29.931668
1/12/23 4:33 PM,8.292198,-9.743202,-44.722684,-0.068001,-3.673757,35.910904,33.922364,34.650244,34.341032,35.945648,769.77256,21,0.96,30.093474
1/12/23 4:34 PM,-2.183914,-6.158339,-46.939064,-0.05629,12.12923,36.356452,34.603312,34.750028,34.402892,36.201024,789.08256,353,0.55,30.570956
1/12/23 4:35 PM,-19.44065,1.793892,-66.920304,-0.104431,-66.905136,35.37288,34.650112,34.52992,34.105872,36.167188,755.9032,71,0.79,31.241308
1/12/23 4:36 PM,3.385544,8.513674,-33.97878,-0.078514,-33.078388,34.492464,34.400264,34.470888,33.97888,36.112584,833.34152,66,0,30.652362
1/12/23 4:37 PM,-0.987053,6.386232,-36.639404,-0.059441,-14.141048,35.575044,35.393972,34.830092,34.237168,36.688548,835.17456,80,0,30.97791
1/12/23 4:38 PM,1.420975,-9.630716,-64.718408,-0.093918,8.236796,35.001028,34.586968,34.687244,33.869156,36.656028,794.66696,325,2.59,31.098518
1/12/23 4:39 PM,-9.28402,9.188586,-49.821808,-0.08709,-72.240832,34.888352,33.596104,34.553484,34.032204,36.362828,706.58552,75,0.51,29.26229
1/12/23 4:40 PM,4.80175,-0.108579,-31.327812,-0.075211,-31.960712,35.560784,34.418932,34.537312,34.189288,37.044636,702.0004,78,0.95,30.401932
1/12/23 4:41 PM,-1.964569,10.30366,-44.39916,-0.064873,-22.713146,35.495224,35.060024,34.569148,34.33976,37.02532,730.29352,87,0.81,30.784698
1/12/23 4:42 PM,-8.625984,-10.75068,-44.838568,-0.064873,-28.175188,35.90214,36.071076,34.706152,34.417448,37.299912,724.41464,107,1.86,31.832708
1/12/23 4:43 PM,8.192063,0.111501,-47.83238,-0.054024,34.24466,35.198736,35.012916,34.564212,34.275608,37.226192,730.2452,99,0.57,30.913702
1/12/23 4:44 PM,6.985665,4.816327,-31.767226,-0.050705,-21.930772,35.168484,35.346324,34.690612,34.35948,37.2927,704.25216,52,0.37,31.363882
1/12/23 4:45 PM,15.172958,-15.56799,-30.4345,-0.064178,-14.695028,35.555052,35.89716,34.67554,34.391428,37.345176,708.04152,112,0,31.918398
1/12/23 4:46 PM,-3.933907,-10.525708,-44.39916,-0.074852,-55.04318,35.68906,35.980696,34.77624,34.441112,37.33572,668.01744,337,1.08,32.354638
1/12/23 4:47 PM,8.950234,6.161261,-55.036828,-0.095695,-80.803208,32.775788,33.873948,34.35758,33.996516,35.837852,640.58556,94,1.62,30.977454
1/12/23 4:48 PM,13.861656,10.416144,-73.110728,-0.102592,-53.031356,33.061184,33.363976,33.954432,33.503666,35.462216,668.46504,238,1.84,30.55918
1/12/23 4:49 PM,-2.403259,-18.932772,-65.708296,-0.075027,-49.01744,31.007554,30.410106,33.364808,33.074776,34.286292,178.28974,299,0,28.424866
1/12/23 4:50 PM,-5.788803,-5.708398,-47.277072,-0.072929,-47.452692,30.169296,29.20561,32.95972,32.9673,33.244828,185.48942,3,1.2,28.44987
1/12/23 4:51 PM,-7.753372,-17.700324,-62.279908,-0.065056,-33.5206,29.390772,28.77315,32.521934,32.59375,32.283084,174.59988,39,2.05,28.590132
1/12/23 4:52 PM,-12.779236,-5.150861,-36.417284,-0.074677,-51.91854,28.93425,28.234314,32.247718,32.242722,31.719226,169.8389,226,0.42,27.484416
